fips,state,county,rucc,website,website additonal,Election Results,Early Voting,Absentee Voting,Overseas Voting,Military Voting,Address Change,Poll Worker Application,Candidate Information,Election Schedule,Felon-restoration of voting rights,Sample Ballot,Track Vote By Mail,Polling Place Locations/Find your precinct,Voter ID/requirements,Voter Registration,Voter Registration Cancellation,Check Voter Registration Status,Signature Cure Form
37091,NC,Hertford County,6,https://www.hertfordcountync.gov,,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
37093,NC,Hoke County,2,https://www.hokecounty.net,,0,1,1,1,1,1,0,0,0,0,1,0,1,0,1,1,1,0
37095,NC,Hyde County,9,https://www.hydecountync.gov,,0,1,1,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0
37097,NC,Iredell County,1,https://www.iredellcountync.gov,,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0
37099,NC,Jackson County,6,https://www.jacksonnc.org,https://jcncelections.org,0,1,0,0,0,0,1,1,0,0,1,0,0,1,1,0,0,0
37101,NC,Johnston County,1,https://www.johnstonnc.com,,1,1,1,1,1,0,1,1,1,0,1,0,1,1,1,1,1,0
37103,NC,Jones County,3,https://jonescountync.gov,,1,1,1,1,1,1,0,1,1,0,0,0,1,0,1,0,0,0
37105,NC,Lee County,4,https://leecountync.gov,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37107,NC,Lenoir County,4,https://lenoircountync.gov,,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0
37109,NC,Lincoln County,1,https://www.lincolncounty.org,,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0
37111,NC,McDowell County,6,https://www.mcdowellgov.com,https://mcdowellcountyncboe.gov,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0
37113,NC,Macon County,7,https://maconnc.org,,0,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0
37115,NC,Madison County,2,https://www.madisoncountync.gov,,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
37117,NC,Martin County,6,https://www.martincountyncgov.com,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37119,NC,Mecklenburg County,1,https://www.mecknc.gov,,1,1,1,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0
37121,NC,Mitchell County,7,https://www.mitchellcountync.gov,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
37123,NC,Montgomery County,6,https://www.montgomerycountync.com,,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0
37125,NC,Moore County,4,https://www.moorecountync.gov,,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0
37127,NC,Nash County,3,https://nashcountync.gov,,1,1,1,1,1,1,1,1,0,0,0,0,1,1,1,0,0,0
37129,NC,New Hanover County,2,https://www.nhcgov.com,,0,1,1,1,1,1,0,1,1,0,0,0,1,1,1,1,1,0
37131,NC,Northampton County,9,http://www.northamptonnc.com,,0,0,1,1,1,0,1,1,0,0,1,0,0,1,1,1,1,0
37133,NC,Onslow County,3,https://www.onslowcountync.gov,,1,0,1,1,1,1,1,1,0,0,1,0,1,0,1,0,0,0
37135,NC,Orange County,2,https://www.orangecountync.gov,,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,0
